acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed
0.0535805448889732,-0.6570993661880493,0.705746054649353,-0.021204873919487,0.0028801800217479467,-0.0020491727627813816,2023-04-04 11:51:21.384983,1061.6
0.0312755219638348,-0.6469678282737732,0.6772335171699524,-0.015707090497016907,-0.001395876519382,-0.0002165772020816803,2023-04-04 11:51:21.974469,1062.2
0.068127304315567,-0.6899060606956482,0.6704100370407104,-0.014485359191894531,-0.02888481318950653,0.022690869867801666,2023-04-04 11:51:22.565094,1062.8
0.0545503310859203,-0.6901472806930542,0.6621243357658386,0.0017025619745254517,-0.09149850159883499,0.10790657252073288,2023-04-04 11:51:23.156511,1063.4
0.062793493270874,-0.591727077960968,0.7500988841056824,-0.024870067834854126,-0.2023705393075943,0.20197981595993042,2023-04-04 11:51:23.753701,1064.0
0.0598841421306133,-0.6083717346191406,0.7795861959457397,-0.023342907428741455,-0.1308993101119995,0.13386833667755127,2023-04-04 11:51:24.347064,1064.6
0.0863107442855835,-0.6257399916648865,0.7471745014190674,-0.02059401571750641,-0.035298895090818405,0.035519037395715714,2023-04-04 11:51:24.941468,1065.2
0.0661877319216728,-0.6879762411117554,0.7181746363639832,-0.020288586616516113,-0.0004795787390321493,-0.00327090360224247,2023-04-04 11:51:25.538051,1065.8
0.0751582384109497,-0.6648185849189758,0.6972166895866394,-0.020288586616516113,0.006239938549697399,-0.003881768323481083,2023-04-04 11:51:26.133105,1066.4
0.075885571539402,-0.661923885345459,0.6986789107322693,-0.015401661396026611,0.005934505723416805,-0.004492633976042271,2023-04-04 11:51:26.729135,1067.0
0.0778251364827156,-0.6597528457641602,0.6977040767669678,-0.021510303020477295,0.001353016821667552,-0.005103498697280884,2023-04-04 11:51:27.330223,1067.6
0.0761280134320259,-0.661923885345459,0.7001410722732544,-0.016317948698997498,0.004101910628378391,-0.003881768323481083,2023-04-04 11:51:27.927563,1068.2
0.0749157890677452,-0.6616826057434082,0.6994099617004395,-0.020288586616516113,0.003491045208647847,-0.00327090360224247,2023-04-04 11:51:28.525222,1068.8
0.0754006803035736,-0.663612425327301,0.7008721232414246,-0.016623392701148987,0.0019638824742287397,-0.005103498697280884,2023-04-04 11:51:29.127037,1069.4
0.0751582384109497,-0.661923885345459,0.6989225149154663,-0.019372284412384033,0.004407343454658985,-0.005103498697280884,2023-04-04 11:51:29.725241,1070.0
0.0744308903813362,-0.661923885345459,0.6996536254882812,-0.017234250903129578,0.003491045208647847,-0.0035763359628617764,2023-04-04 11:51:30.314685,1070.6
0.0749157890677452,-0.6616826057434082,0.6991662383079529,-0.015707090497016907,0.003491045208647847,-0.003881768323481083,2023-04-04 11:51:30.910247,1071.1
0.0751582384109497,-0.6609589457511902,0.6994099617004395,-0.019372284412384033,0.005018208175897598,-0.00327090360224247,2023-04-04 11:51:31.502604,1071.7
0.0744308903813362,-0.662406325340271,0.6981914639472961,-0.015707090497016907,0.0022693148348480463,-0.004492633976042271,2023-04-04 11:51:32.089737,1072.3
0.0751582384109497,-0.6609589457511902,0.6996536254882812,-0.01876141130924225,0.00257474766112864,-0.004187201149761677,2023-04-04 11:51:32.689249,1072.9
0.075885571539402,-0.662165105342865,0.6991662383079529,-0.017539680004119873,0.0028801800217479467,-0.0057143643498420715,2023-04-04 11:51:33.288870,1073.5
0.0739460065960884,-0.661441445350647,0.7008721232414246,-0.019066855311393738,0.003491045208647847,-0.001743740402162075,2023-04-04 11:51:33.886421,1074.1
0.0746733397245407,-0.6604765057563782,0.7006284594535828,-0.01967771351337433,0.004101910628378391,-0.002965470775961876,2023-04-04 11:51:34.484402,1074.7
0.0741884484887123,-0.661441445350647,0.6998973488807678,-0.017234250903129578,0.0031856128480285406,-0.002660037949681282,2023-04-04 11:51:35.085687,1075.3
0.0749157890677452,-0.661923885345459,0.7003847360610962,-0.016317948698997498,0.0028801800217479467,-0.0020491727627813816,2023-04-04 11:51:35.683264,1075.9
0.0754006803035736,-0.661923885345459,0.6996536254882812,-0.017845124006271362,0.0022693148348480463,-0.002660037949681282,2023-04-04 11:51:36.280750,1076.5
0.0741884484887123,-0.6609589457511902,0.7003847360610962,-0.017234250903129578,0.0028801800217479467,-0.003881768323481083,2023-04-04 11:51:36.882732,1077.1
0.0749157890677452,-0.661923885345459,0.6998973488807678,-0.015401661396026611,0.003491045208647847,-0.005103498697280884,2023-04-04 11:51:37.480093,1077.7
0.075885571539402,-0.662165105342865,0.6994099617004395,-0.021204873919487,0.0028801800217479467,-0.002660037949681282,2023-04-04 11:51:38.069621,1078.3
0.0763704627752304,-0.662406325340271,0.7008721232414246,-0.015096232295036316,0.001353016821667552,-0.0035763359628617764,2023-04-04 11:51:38.664896,1078.9
0.0754006803035736,-0.661441445350647,0.7016032338142395,-0.018150553107261658,0.0016584496479481459,-0.0047980668023228645,2023-04-04 11:51:39.257318,1079.5
0.0751582384109497,-0.6616826057434082,0.6986789107322693,-0.018455982208251953,0.004407343454658985,-0.0023546055890619755,2023-04-04 11:51:39.855245,1080.1
0.0761280134320259,-0.6616826057434082,0.6998973488807678,-0.017539680004119873,0.0028801800217479467,-0.002965470775961876,2023-04-04 11:51:40.453812,1080.7
0.078310027718544,-0.662647545337677,0.6989225149154663,-0.017234250903129578,0.0031856128480285406,-0.0035763359628617764,2023-04-04 11:51:41.048953,1081.3
0.0749157890677452,-0.662406325340271,0.6994099617004395,-0.021510303020477295,-0.0007850113324820995,-0.004187201149761677,2023-04-04 11:51:41.644938,1081.9
0.0746733397245407,-0.662647545337677,0.6986789107322693,-0.017539680004119873,0.0028801800217479467,-0.002965470775961876,2023-04-04 11:51:42.241444,1082.5
0.07346111536026,-0.663612425327301,0.7006284594535828,-0.021815747022628784,0.0019638824742287397,-0.0035763359628617764,2023-04-04 11:51:42.838616,1083.1
0.0802495926618576,-0.663853645324707,0.6998973488807678,-0.016928821802139282,0.0019638824742287397,-0.00327090360224247,2023-04-04 11:51:43.440229,1083.7
0.0761280134320259,-0.663371205329895,0.6977040767669678,-0.012347325682640076,0.0031856128480285406,-0.002965470775961876,2023-04-04 11:51:44.036393,1084.3
0.078310027718544,-0.6648185849189758,0.696729302406311,-0.017539680004119873,0.000436719274148345,-0.004492633976042271,2023-04-04 11:51:44.637035,1084.9
0.0785524696111679,-0.663612425327301,0.6972166895866394,-0.017845124006271362,0.0022693148348480463,-0.001743740402162075,2023-04-04 11:51:45.234401,1085.5
0.0763704627752304,-0.662647545337677,0.696729302406311,-0.020288586616516113,0.005934505723416805,-0.0005220095627009869,2023-04-04 11:51:45.831738,1086.1
0.0732186660170555,-0.6640949249267578,0.6979478001594543,-0.0111255943775177,0.004407343454658985,-0.004492633976042271,2023-04-04 11:51:46.427390,1086.7
0.0763704627752304,-0.6607177257537842,0.6994099617004395,-0.011736467480659485,0.0022693148348480463,-0.0020491727627813816,2023-04-04 11:51:47.017456,1087.3
0.0770978033542633,-0.664336085319519,0.6974603533744812,-0.016928821802139282,0.00257474766112864,-0.002660037949681282,2023-04-04 11:51:47.614707,1087.9
0.0751582384109497,-0.6568580865859985,0.7025780081748962,-0.009293004870414734,0.004101910628378391,-0.0008274423889815807,2023-04-04 11:51:48.210850,1088.4
0.0761280134320259,-0.664336085319519,0.6994099617004395,-0.016623392701148987,0.00257474766112864,-0.003881768323481083,2023-04-04 11:51:48.808133,1089.0
0.0766129121184349,-0.661923885345459,0.6989225149154663,-0.01387450098991394,0.001353016821667552,-0.00327090360224247,2023-04-04 11:51:49.398996,1089.6
0.0744308903813362,-0.6653010249137878,0.7042838931083679,-0.016012519598007202,0.004407343454658985,-0.003881768323481083,2023-04-04 11:51:49.994761,1090.2
0.0778251364827156,-0.662165105342865,0.7006284594535828,-0.013263627886772156,0.005629073828458786,-0.0020491727627813816,2023-04-04 11:51:50.596132,1090.8
0.0761280134320259,-0.7077568173408508,0.6591999530792236,-0.01387450098991394,-0.0038393374998122454,0.0025323163717985153,2023-04-04 11:51:51.193519,1091.4
0.0754006803035736,-0.706068217754364,0.6630991101264954,-0.00959843397140503,0.005934505723416805,-0.010295853950083256,2023-04-04 11:51:51.790335,1092.0
0.0644906088709831,-0.7330855131149292,0.6660234928131104,-0.003795221447944641,-0.07653229683637619,0.04682004451751709,2023-04-04 11:51:52.391794,1092.6
0.0807344913482666,-0.7383924722671509,0.6316621899604797,-0.026702672243118286,-0.12082003057003021,0.13417378067970276,2023-04-04 11:51:52.987186,1093.2
0.2089883834123611,-0.6997963190078735,0.6360487937927246,-0.015096232295036316,-0.02644135244190693,0.0917186439037323,2023-04-04 11:51:53.573998,1093.8
0.2475372701883316,-0.7574493288993835,0.36067134141922,-0.005016952753067017,-0.14922526478767395,0.04376571998000145,2023-04-04 11:51:54.165765,1094.4
0.0693395361304283,-0.6515511274337769,0.7479056119918823,-0.0010463297367095947,-0.07653229683637619,0.022385437041521072,2023-04-04 11:51:54.756858,1095.0
0.0754006803035736,-0.7519011497497559,0.7089141607284546,0.24391064047813416,0.13238361477851868,0.049568939954042435,2023-04-04 11:51:55.343657,1095.6
0.1289812177419662,-0.6884586811065674,0.6436033844947815,-0.02456463873386383,-0.043851010501384735,0.035519037395715714,2023-04-04 11:51:55.939097,1096.2
0.7583708167076111,-0.6382837295532227,0.7055023908615112,-0.18583306670188904,-0.0710345134139061,0.0260506272315979,2023-04-04 11:51:56.525852,1096.8
0.1129797920584679,-0.6792921423912048,0.758628249168396,-0.04380689561367035,-0.07928119599819183,0.0361299030482769,2023-04-04 11:51:57.116660,1097.4
0.151286244392395,-0.6754325032234192,0.635805070400238,-0.01967771351337433,-0.04721076786518097,0.011084429919719696,2023-04-04 11:51:57.704980,1097.9
0.1297085732221603,-0.6447967886924744,0.7959138751029968,-0.014790788292884827,-0.0053665004670619965,-0.00785239227116108,2023-04-04 11:51:58.294556,1098.5
0.0283661708235741,-0.5280434489250183,0.5882841944694519,-0.054191604256629944,0.0404483936727047,0.013527890667319298,2023-04-04 11:51:58.885360,1099.1
0.1241323128342628,-0.5471003651618958,0.1050333455204964,0.2665126621723175,0.24630998075008392,0.04468201845884323,2023-04-04 11:51:59.482553,1099.7
-0.0103670973330736,-0.6028234958648682,0.5890152454376221,0.015752464532852173,-0.0661475881934166,0.023912601172924042,2023-04-04 11:52:00.074799,1100.3
0.0557625629007816,-0.764203667640686,0.712325930595398,0.014836177229881287,-0.026135919615626335,0.013222457841038704,2023-04-04 11:52:00.672783,1100.9
0.0967359244823456,-0.6300820112228394,0.6691915392875671,-0.024870067834854126,0.0028801800217479467,0.02757779136300087,2023-04-04 11:52:01.266719,1101.5
0.0870380848646164,-0.6409372091293335,0.7781240940093994,-0.044189706444740295,-0.0073219360783696175,0.04398496076464653,2023-04-04 11:52:01.861286,1102.1
0.0928567871451378,-0.6886999607086182,0.5680573582649231,-0.04296797513961792,-0.06627043336629868,0.024437271058559418,2023-04-04 11:52:02.458468,1102.7
-0.0271519217640162,-0.7181295156478882,0.7856786251068115,-0.049992918968200684,0.02902454510331154,0.00030809477902948856,2023-04-04 11:52:03.055964,1103.3
