,time,velocity_x,velocity_y,velocity_z,speed
0,11:33:45.837070,0.0,0.0,0.0,0.0
1,11:33:46.364798,0.035440904,-0.365737689,0.357395089,0.5125927862082297
2,11:33:46.915594,0.073365766,-0.748791102,0.730815294,1.0488859060924822
3,11:33:47.466455,0.110760885,-1.130560933,1.105756237,1.5852863629439995
4,11:33:48.001725,0.146967839,-1.501525545,1.470215697,2.106587929257422
5,11:33:48.552226,0.184738917,-1.88304588,1.8467897899999999,2.6439785895667822
6,11:33:49.076302,0.219426318,-2.2457468780000003,2.205159977,3.1550368418198267
7,11:33:49.627052,0.25601274,-2.6281040410000003,2.580428027,3.6920295469957916
8,11:33:50.177963,0.29287698900000003,-3.011503213,2.955537272,4.229672457623194
9,11:33:50.718959,0.32986474800000004,-3.388132704,3.323895503,4.75778680551694
10,11:33:51.254883,0.36572614100000006,-3.7603262190000004,3.689714457,5.28089023344591
11,11:33:51.805584,0.40297688500000006,-4.143047916,4.065083339,5.818259100206147
12,11:33:52.356604,0.44024920700000003,-4.525725443000001,4.441206745,6.356125195550759
13,11:33:52.911660,0.47752539200000005,-4.911205929,4.819273555,6.897345270100073
14,11:33:53.466583,0.5158689540000001,-5.296727906,5.198737334,7.439644961678321
15,11:33:54.003986,0.5520898960000001,-5.669430042,5.5654349,7.963749486299492
16,11:33:54.554739,0.5900117980000001,-6.051523549000001,5.941376053,8.501117608234967
17,11:33:55.106243,0.6271831470000001,-6.431078264000001,6.3178298349999995,9.036985125670519
18,11:33:55.657155,0.6636467620000001,-6.809959739000001,6.691865730999999,9.570634547053094
19,11:33:56.207970,0.6994362460000001,-7.188641637000001,7.0647618969999995,10.103298486570198
20,11:33:56.742419,0.734810213,-7.556458802000001,7.426317931,10.620273710585076
21,11:33:57.297443,0.771815118,-7.938302127000001,7.800981501,11.156507142239917
22,11:33:57.851261,0.808336806,-8.319716561000002,8.174561015,11.69164401764225
23,11:33:58.402385,0.845215308,-8.698344977000001,8.546188995,12.223458618330485
24,11:33:58.953158,0.880868528,-9.077396605,8.917043413,12.754948910811564
25,11:33:59.501550,0.91689944,-9.454544988,9.28682918,13.284363806057396
26,11:34:00.052397,0.952824555,-9.833780387000001,9.658001868,13.81622638113057
27,11:34:00.597666,0.989311269,-10.208517914000002,10.025548873,14.342391885328643
28,11:34:01.136309,1.025615787,-10.579351363,10.389285855,14.863102757542137
