,time,acc_magnitude,elapsed,speed
1150,11:45:04.102425,0.9766320048818243,684.3,665.8239796477137
1151,11:45:04.693747,1.003057672654782,684.9,666.4258142513066
1152,11:45:05.290963,1.077473429509883,685.5,667.0722983090126
1153,11:45:05.888298,0.9888248759988936,686.1,667.665593234612
1154,11:45:06.489875,0.9679444345797045,686.7,668.2463598953598
1155,11:45:07.087030,0.9884929732236335,687.3,668.8394556792939
1156,11:45:07.681998,0.9832218799296443,687.9,669.4293888072517
1157,11:45:08.277808,0.9849291311433553,688.5,670.0203462859378
1158,11:45:08.874205,0.9858696204733679,689.1,670.6118680582218
1159,11:45:09.471581,0.9853192099646004,689.7,671.2030595842006
1160,11:45:10.068898,0.9867360831803211,690.3,671.7951012341086
1161,11:45:10.664968,0.9857061825925721,690.9,672.3865249436642
1162,11:45:11.260915,0.985608212741649,691.5,672.9778898713092
1163,11:45:11.858216,0.9813351489098884,692.1,673.5666909606551
1164,11:45:12.437223,0.9931282620171387,692.7,674.1625679178654
1165,11:45:13.011518,1.019537027237742,693.2,674.6723364314843
1166,11:45:13.607056,0.9752440988289749,693.8,675.2574828907816
1167,11:45:14.173712,0.9968297601586616,694.4,675.8555807468769
1168,11:45:14.750494,1.0355280764635413,695.0,676.476897592755
1169,11:45:15.347900,1.0438731552394498,695.6,677.1032214858986
1170,11:45:15.923475,1.01287304335047,696.2,677.710945311909
1171,11:45:16.503329,0.9716237940426004,696.7,678.1967572089303
1172,11:45:17.100470,1.0312659931624801,697.3,678.8155168048277
1173,11:45:17.682076,1.0332583391185213,697.9,679.4354718082988
1174,11:45:18.262323,1.0447534645134926,698.5,680.0623238870069
1175,11:45:18.856521,0.9624607244105454,699.1,680.6398003216532
1176,11:45:19.446197,1.054815680818167,699.7,681.2726897301441
1177,11:45:20.041172,1.017375384366444,700.3,681.8831149607638
1178,11:45:20.638453,1.0368745215419326,700.9,682.505239673689
1179,11:45:21.236047,1.0183798964458035,701.5,683.1162676115565
1180,11:45:21.838091,0.9974896950201768,702.1,683.7147614285686
1181,11:45:22.435307,0.9626175934504926,702.7,684.292331984639
1182,11:45:23.033228,1.0327861305832753,703.3,684.9120036629888
1183,11:45:23.630864,1.1292673245777827,703.9,685.5895640577355
1184,11:45:24.228082,1.0508762680497277,704.5,686.2200898185654
1185,11:45:24.830079,0.9918046422953903,705.1,686.8151726039426
1186,11:45:25.427760,0.8755209926954054,705.7,687.3404851995599
1187,11:45:26.025102,1.0273094821151356,706.3,687.9568708888289
1188,11:45:26.622563,0.9356537652023111,706.9,688.5182631479503
1189,11:45:27.227603,0.9663257641222549,707.5,689.0980586064237
1190,11:45:27.824871,1.0017058378570982,708.1,689.699082109138
1191,11:45:28.419987,0.9808144033501743,708.7,690.2875707511481
1192,11:45:29.015239,0.8976903123730812,709.3,690.8261849385718
1193,11:45:29.611263,0.9419161946266128,709.8,691.2971430358851
1194,11:45:30.208165,1.0037730228432489,710.4,691.8994068495911
1195,11:45:30.805117,0.9710337229680978,711.0,692.4820270833719
1196,11:45:31.391668,0.9807050792707391,711.6,693.0704501309344
1197,11:45:31.984065,0.9114469777173164,712.2,693.6173183175648
1198,11:45:32.585996,0.956720567976193,712.8,694.1913506583504
1199,11:45:33.182757,1.0327371132496082,713.4,694.8109929263002
1200,11:45:33.774081,0.9034105606430164,714.0,695.353039262686
1201,11:45:34.371446,0.962768726679479,714.6,695.9307004986937
1202,11:45:34.958676,0.8357237204863711,715.2,696.4321347309855
1203,11:45:35.558490,0.9257677534446422,715.8,696.9875953830522
1204,11:45:36.159131,1.1231038518955319,716.4,697.6614576941895
1205,11:45:36.756463,1.1996562039752734,717.0,698.3812514165747
1206,11:45:37.353756,1.0507919081594415,717.6,699.0117265614705
1207,11:45:37.955278,1.0355078614520117,718.2,699.6330312783417
1208,11:45:38.546793,0.8575393059908712,718.8,700.1475548619362
1209,11:45:39.132959,1.010432184066108,719.4,700.7538141723759
1210,11:45:39.734435,1.0366102944847695,720.0,701.3757803490668
1211,11:45:40.315571,0.9691660305204086,720.6,701.957279967379
1212,11:45:40.883851,0.8585531243305734,721.1,702.3865565295444
1213,11:45:41.481174,0.9433483445078006,721.7,702.952565536249
1214,11:45:42.047895,1.0256061689246225,722.3,703.5679292376037
1215,11:45:42.622702,0.9935001306189414,722.9,704.1640293159751
1216,11:45:43.219977,0.9316583249219652,723.5,704.7230243109283
1217,11:45:43.814541,0.9857623326064612,724.1,705.3144817104921
1218,11:45:44.405980,0.9911187388337284,724.6,705.810041079909
1219,11:45:45.001910,0.9309568431700163,725.2,706.368615185811
1220,11:45:45.599778,1.0219251021380964,725.8,706.9817702470938
1221,11:45:46.188940,1.0281675528850729,726.4,707.5986707788248
1222,11:45:46.779217,0.965809035454307,727.0,708.1781562000974
1223,11:45:47.351184,1.006820326192124,727.6,708.7822483958128
1224,11:45:47.944263,1.1124511332558593,728.2,709.4497190757663
1225,11:45:48.540643,1.3045464672460088,728.8,710.2324469561138
1226,11:45:49.137135,0.9916172325946903,729.4,710.8274172956707
1227,11:45:49.738616,0.9450270214344125,730.0,711.3944335085314
1228,11:45:50.335465,0.9872664916142769,730.6,711.9867934035
1229,11:45:50.923192,0.9412921798357481,731.2,712.5515687114014
1230,11:45:51.513196,0.9020833000691539,731.8,713.0928186914427
1231,11:45:52.104039,0.9714348221061158,732.3,713.5785361024958
1232,11:45:52.696404,0.9941903292998644,732.9,714.1750503000758
1233,11:45:53.289463,1.311916579289127,733.5,714.9622002476493
1234,11:45:53.883486,1.029194686459916,734.1,715.5797170595253
1235,11:45:54.478188,0.9862522305135459,734.7,716.1714683978335
