,time,velocity_x,velocity_y,velocity_z,elapsed,speed
1705,11:50:33.189828,55.606083791534175,-697.8167804211381,693.5115176282834,1013.4,985.3925718590733
1706,11:50:33.783825,55.566096413711776,-698.2598159044984,693.9210745297383,1014.0,985.9923018229648
1707,11:50:34.378871,55.49915458766626,-698.7859295934442,694.4242110215139,1014.6,986.7152154550834
1708,11:50:34.974666,55.46746088845538,-699.2702147334817,694.8690065346669,1015.2,987.3694387985163
1709,11:50:35.574800,55.417995022068496,-699.600935432315,695.3703884325932,1015.8,987.9537439267751
1710,11:50:36.171256,55.39992665296304,-700.0166158884766,695.7634227119397,1016.4,988.5237249438892
1711,11:50:36.772333,55.34616585021722,-700.4392436593773,696.1479763470601,1017.0,989.0906617214355
1712,11:50:37.368588,55.29699618464219,-700.8342269390824,696.5043098889303,1017.6,989.6184240050306
1713,11:50:37.955423,55.27093034108984,-701.1993946760896,696.8695627056073,1018.2,990.1326447806821
1714,11:50:38.552562,55.3302810998808,-701.6223119109872,697.258210464568,1018.8,990.7089989690022
1715,11:50:39.139329,55.323764638992714,-702.0505843728783,697.6956950627279,1019.4,991.3198398403986
1716,11:50:39.726058,55.34180261531727,-702.4114100784067,698.2693087063741,1020.0,991.9801064569419
1717,11:50:40.321215,55.35038520080851,-702.8074065178637,698.709278997035,1020.6,992.5706888452833
1718,11:50:40.908188,55.38844920752452,-703.1348706513647,699.0559377633047,1021.1,993.0487051266213
1719,11:50:41.497071,55.43398055044817,-703.5493932515387,699.4628627739859,1021.7,993.6312048965932
1720,11:50:42.088787,55.4779117500584,-703.9636263519529,699.8687642179441,1022.3,994.2126900450886
1721,11:50:42.675552,55.52169748453306,-704.3794515758757,700.2720337711286,1022.9,994.7934418641129
1722,11:50:43.262453,55.5669378927152,-704.7949873000388,700.6764730535459,1023.5,995.3748934953057
1723,11:50:43.850220,55.61174189654992,-705.2097993642095,701.081643434615,1024.1,995.9563231974872
1724,11:50:44.440200,55.65625496564316,-705.6243219643835,701.4866676174115,1024.7,996.53742895562
1725,11:50:45.031414,55.70004070011781,-706.0398576885465,701.8933001957844,1025.3,997.1203438094057
1726,11:50:45.627925,55.75735491571832,-706.4556829124693,702.3021260343503,1025.9,997.705763629182
1727,11:50:46.226445,55.800995185057396,-706.8731002241377,702.7065653167675,1026.5,998.2884592257967
1728,11:50:46.826039,55.845799188892116,-707.2997805982832,703.097844966502,1027.1,998.8685161311096
1729,11:50:47.421558,55.87896578965592,-707.7525133758788,703.4530087433766,1027.7,999.4409509909549
